circulo,partido,candidato,tipo
Faro,PAN,Alexandre Topete Hipólito Pereira,efetivo
Faro,PAN,Daniela Marlene da Conceição Duarte,efetivo
Faro,PAN,Maria João Sacadura e Serrano,efetivo
Faro,PAN,Armando António Mestre Frade,efetivo
Faro,PAN,Sara Alexandra Gonçalves dos Santos,efetivo
Faro,PAN,Abílio de Jesus Nascimento Guerreiro,efetivo
Faro,PAN,Elza Maria Martins de Sousa Cunha,efetivo
Faro,PAN,Mónica Cristina Guerra Caldeira,suplente
Faro,PAN,César Rodrigo Simões Valente,suplente
Faro,PAN,Ricardo Nuno do Nascimento Vieira da Conceição Cândido,suplente
Faro,PAN,Isabel Maria Moreira Figueiras,suplente
Faro,PAN,Pedro Miguel da Silva Glória,suplente
Faro,CHEGA,Pedro Miguel Soares Pinto,efetivo
Faro,CHEGA,João Paulo da Silva Graça,efetivo
Faro,CHEGA,Sandra Margarida de Melo Pereira Ribeiro,efetivo
Faro,CHEGA,Sandra Marisa Godinho de Oliveira Castro,efetivo
Faro,CHEGA,António Ricardo Correia Moreira,efetivo
Faro,CHEGA,Raquel Alexandra Matias da Fonseca Pelicano Rodrigues Pereira,efetivo
Faro,CHEGA,Fernando Jorge da Encarnação dos Santos,efetivo
Faro,CHEGA,Anaisa Pera Gonçalves,efetivo
Faro,CHEGA,José Paulo Barbosa Moreira de Sousa,efetivo
Faro,CHEGA,Maria Manuela Agostinho Gomes Cardoso,suplente
Faro,CHEGA,António José de Figueiredo Martins da Luz,suplente
Faro,CHEGA,Maria Lurdes Rego Alemão,suplente
Faro,CHEGA,David Jorge Gomes da Costa,suplente
Faro,CHEGA,Pedro Rafael de Oliveira Ferreira,suplente
Faro,PS,Jamila Bárbara Madeira e Madeira,efetivo
Faro,PS,Jorge Manuel Nascimento Botelho,efetivo
Faro,PS,Luís Miguel da Graça Nunes,efetivo
Faro,PS,Isabel Cristina Andrez Guerreiro Bica,efetivo
Faro,PS,Francisco José Pereira Oliveira,efetivo
Faro,PS,Tatiana Henriques Homem de Gouveia,efetivo
Faro,PS,Ana Sofia Belchior da Silva Ferreira,efetivo
Faro,PS,Abel Filipe dos Santos Matinhos,efetivo
Faro,PS,Célia Maria Marques da Rosa Paz,efetivo
Faro,PS,Pedro Miguel Chaveca de Ornelas,suplente
Faro,PS,Luís Guilhermino Gomes Afonso Anacleto,suplente
Faro,PS,Maria Paula Dias da Silva Couto,suplente
Faro,PS,Luís António Rosário Veríssimo,suplente
Faro,PS,António Henrique Cabrita,suplente
Faro,LIVRE,Marta Gutierres Nobre Ramos Setúbal,efetivo
Faro,LIVRE,Manuel Cândido Nunes Mariano,efetivo
Faro,LIVRE,Carla Sofia Natividade Emídio do Carmo,efetivo
Faro,LIVRE,Carlos David da Loura Marques,efetivo
Faro,LIVRE,Ana Sofia Dias Marcelino,efetivo
Faro,LIVRE,Francisco António do Espirito Santo da Fonseca Taveira,efetivo
Faro,LIVRE,Maria João Duarte Nobre Pereira Bernardo,efetivo
Faro,LIVRE,Luís Eugénio Castanheira da Conceição,efetivo
Faro,LIVRE,Rosa Maria Cardoso de Resende Palma Dias,efetivo
Faro,LIVRE,João David Barata Rodrigues,suplente
Faro,LIVRE,Miguel Cisneiros e Faria Lourenço,suplente
Faro,BE,José Guilherme Figueiredo Nobre de Gusmão,efetivo
Faro,BE,Igor Miguel Gago,efetivo
Faro,BE,Sandra Cristina Ferreira da Costa,efetivo
Faro,BE,Inês Margarida Marreiros Gonçalves,efetivo
Faro,BE,João Miguel Mendes Faria Paulos Varela,efetivo
Faro,BE,Maria Helena de Almeida Barão e Baião,efetivo
Faro,BE,Aníbal Acácio Mendes Coutinho,efetivo
Faro,BE,Célia Maria Alves Gonçalves,efetivo
Faro,BE,Jorge Manuel Albano da Encarnação Ramos,efetivo
Faro,BE,João Miguel Correia Rodrigues,suplente
Faro,BE,Joaquina Maria Rosa Lourenço,suplente
Faro,BE,Adriana de Mendonça Bravo Cotovio,suplente
Faro,BE,Carlos Alberto Aboim de Brito,suplente
Faro,BE,Alexandra Valentina Mendes Macedo de Melo Alvim,suplente
Faro,Volt Portugal,Bruno Miguel Assis Ribeiro,efetivo
Faro,Volt Portugal,Alexandra Gonçalves Jara,efetivo
Faro,Volt Portugal,Yannick Schade,efetivo
Faro,Volt Portugal,Catarina Severino Soares,efetivo
Faro,Volt Portugal,Zacarias Lívio da Costa Pinheiro,efetivo
Faro,Volt Portugal,Ângela Maria Rodrigues Estevão,efetivo
Faro,Volt Portugal,Joel Ricardo Rita Águeda,efetivo
Faro,Volt Portugal,Sandra Isabel Martins Rodrigues,efetivo
Faro,Volt Portugal,Ricardo Augusto Assis Ribeiro,efetivo
Faro,Volt Portugal,Kristina Golodniuk,suplente
Faro,Volt Portugal,Rafael Alexandre Garcia Silva,suplente
Faro,IL,Cláudia Ramos Neto Beleza de Vasconcelos,efetivo
Faro,IL,João Manuel Caetano Dias,efetivo
Faro,IL,Maria Santos Marques Páramos Merino Baptista,efetivo
Faro,IL,Bernardo Lopes Fernandes,efetivo
Faro,IL,Maria Salomé Vieira Luz Carriço da Silva,efetivo
Faro,IL,António Paula Brito de Pina,efetivo
Faro,IL,Joaquim Jacinto Lourenço,efetivo
Faro,IL,Carolina Lindo Rodrigues,efetivo
Faro,IL,Daniel Martins Viegas,efetivo
Faro,IL,André Filipe Franganito Sardo,suplente
Faro,IL,Catarina Sofia Martinho de Azevedo,suplente
Faro,IL,Daniel José Correia Frango,suplente
Faro,IL,Vasco Ventura Rodrigues,suplente
Faro,IL,Maria de Fátima Melo da Rocha,suplente
Faro,ADN,Jorge Manuel Rodrigues de Jesus,efetivo
Faro,ADN,Bárbara João Garganta Custódio Loureiro dos Santos Moita,efetivo
Faro,ADN,José Maria Ferreira das Neves,efetivo
Faro,ADN,Manuel Gomes Merceano,efetivo
Faro,ADN,Filomena Carvalho Antunes Neves,efetivo
Faro,ADN,Rui Pedro Pereira Costa Santos,efetivo
Faro,ADN,Tiago Paulino Possante,efetivo
Faro,ADN,Cátia Marisa Ribeiro,efetivo
Faro,ADN,Paulo Jorge Carreiras Ventura,efetivo
Faro,ADN,António Manuel Araújo dos Santos,suplente
Faro,ADN,Carla Solange Pestana Almeida,suplente
Faro,ADN,João Carlos Borges da Silva Correia,suplente
Faro,ADN,Milena Lopes Bezerra,suplente
Guarda,BE,Pedro Miguel da Cruz Cardoso,efetivo
Guarda,BE,Beatriz Realinho Pires,efetivo
Guarda,BE,Tiago Antunes da Silva,efetivo
Guarda,BE,Marta Raquel Martins de Almeida,suplente
Guarda,BE,Artur Jorge Barreira Alves,suplente
Guarda,BE,Ana Rita Gomes Brito,suplente
Guarda,PS,Ana Manuel Jerónimo Lopes Correia Mendes Godinho,efetivo
Guarda,PS,António Herminio Carvalho Monteirinho,efetivo
Guarda,PS,Cristina Maria Figueiredo Almeida de Sousa,efetivo
Guarda,PS,Paulo José Gomes Langrouva,suplente
Guarda,PS,Júlia Maria Bogas Marques Coelho,suplente
Guarda,PS,Jorge Rafael da Silva Abreu,suplente
Guarda,Ergue-te,Otília Maria Alves Correia Ferreira Fernandes,efetivo
Guarda,Ergue-te,José Henrique Melo do Patrocínio,efetivo
Guarda,Ergue-te,Amélia Benvinda Andrade Nobre,efetivo
Guarda,Ergue-te,Maria Isabel Gimenez-Salinas Moreira Ribeiro,suplente
Guarda,Ergue-te,Luís Alberto Ferreira da Silva,suplente
Guarda,Ergue-te,António Ilídio Carreira Pinheiro Matos,suplente
Guarda,CDS/PP,João Mário Simões Amaral,efetivo
Guarda,CDS/PP,Carolina Lopes Figueiredo,efetivo
Guarda,CDS/PP,Dora Cruz Pinto de Almeida Vilhena,efetivo
Guarda,CDS/PP,José Manuel Monteiro Saraiva,suplente
Guarda,CDS/PP,Anabela da Silva Melo,suplente
Guarda,CDS/PP,Mário José Marvão Abranches,suplente
Guarda,PCP - PEV - CDU,André Tomás Pinto da Silva e Conceição Santos,efetivo
Guarda,PCP - PEV - CDU,Ilda Maria Silva Bernardo,efetivo
Guarda,PCP - PEV - CDU,Maria Inês Teixeira Tomé,efetivo
Guarda,PCP - PEV - CDU,Aristides Valente de Sampaio Rodrigues,suplente
Guarda,PCP - PEV - CDU,Maria Delfina Bazaréu Monteiro,suplente
Guarda,PCP - PEV - CDU,Zulmiro Rodrigues de Almeida,suplente
Guarda,PAN,Beatriz Salafranca Ferraz,efetivo
Guarda,PAN,Rita Manuela de Jesus Bastos Pires,efetivo
Guarda,PAN,Joaquim Ferreira Carvalho,efetivo
Guarda,PAN,Artur José de Almeida Ferreira,suplente
Guarda,PAN,Tânia Garcia Duarte,suplente
Guarda,MPT,Mário de Almeida Gomes,efetivo
Guarda,MPT,António Almeida Sequeira,efetivo
Guarda,MPT,Eva Carvalho de Almeida Abrantes,efetivo
Guarda,MPT,Maria Madalena Anjos Figueiredo,suplente
Guarda,MPT,Helena Lopes de Melo Albuquerque,suplente
Guarda,CHEGA,José António dos Santos Marques,efetivo
Guarda,CHEGA,Pedro de Almeida,efetivo
Guarda,CHEGA,Maria Olívia Martins Teixeira,efetivo
Guarda,CHEGA,Marco Artur Faróia Ribeiro,suplente
Guarda,CHEGA,Maria Natércia Pires Monteiro Rabaça,suplente
Guarda,CHEGA,António José dos Santos Cardoso,suplente
Guarda,MAS,Sílvio José dos Santos Figueiredo Miguel,efetivo
Guarda,MAS,Isabel Maria Gaspar da Silva,efetivo
Guarda,MAS,Maria Susana Borges Pereira,efetivo
Guarda,MAS,Alexandre da Silva van Velze,suplente
Guarda,MAS,Cláudia Pereira Martins,suplente
Guarda,MAS,Luís Manuel Vale da Costa,suplente
Guarda,Volt Portugal,Jorge André Nunes Dourado dos Santos,efetivo
Guarda,Volt Portugal,André Alexandre Garcia Barbosa,efetivo
Guarda,Volt Portugal,Ana Cristina Saiago Soares,efetivo
Guarda,Volt Portugal,David Dourado dos Santos Martins,suplente
Guarda,Volt Portugal,Maria Emília Nunes Martins dos Santos,suplente
Guarda,PPD/PSD,Gustavo de Sousa Duarte,efetivo
Guarda,PPD/PSD,João José Pina Prata,efetivo
Guarda,PPD/PSD,Sara Filipa Saraiva dos Santos,efetivo
Guarda,PPD/PSD,Luís Miguel Gaspar Matos Soares,suplente
Guarda,PPD/PSD,Denise do Nascimento Fragona,suplente
Guarda,PPD/PSD,Carla Sofia Silva Sequeira,suplente
Guarda,R.I.R.,Ana Isabel Cunha Rodrigues Ramos,efetivo
Guarda,R.I.R.,Francisco António Fernandes Freixinho,efetivo
Guarda,R.I.R.,Agostinho da Silva Ribeiro,efetivo
Guarda,R.I.R.,Margarida Irene Gomes da Silva,suplente
Guarda,R.I.R.,António Pedro Pereira da Fonseca,suplente
Guarda,IL,Ângelo Filipe da Silva Videira dos Santos,efetivo
Guarda,IL,Luísa Isabel Borges Miranda Quaresma Magoito,efetivo
Guarda,IL,Hernâni Fortunato Marques,efetivo
Guarda,IL,Tiago João Carreira Mateus,suplente
Guarda,IL,Sandra Isabel Azevedo Martins,suplente
Guarda,PTP,António Carlos da Costa Andrade,efetivo
Guarda,PTP,Maria de Lourdes Correia Silvério Andrade,efetivo
Guarda,PTP,Pedro Manuel Silvério Andrade,efetivo
Guarda,PTP,Maria Lourdes Ribeiro Ricardo,suplente
Guarda,PTP,Manuel Coelho Correia de Paula,suplente
Guarda,PTP,João Augusto Figueiredo,suplente
Guarda,LIVRE,Margarida Garcia Bordal Bento,efetivo
Guarda,LIVRE,Luís Filipe Moreira Freire,efetivo
Guarda,LIVRE,Rosa Maria do Céu Barros Coelho,efetivo
Guarda,LIVRE,Nuno Jorge Besteiro Guerra,suplente
Guarda,LIVRE,Elsa Maria Borges Ribeiro,suplente
Guarda,LIVRE,André Pinheiro Pires,suplente
Leiria,CDS/PP,António Afonso Ávila de Mello Galvão Lucas,efetivo
Leiria,CDS/PP,Fábio Alexandre Seguro Joaquim,efetivo
Leiria,CDS/PP,Sofia Pires Borges,efetivo
Leiria,CDS/PP,Paulo Fernando da Ponte e Sousa Pessoa de Carvalho,efetivo
Leiria,CDS/PP,José António Martins da Fonseca,efetivo
Leiria,CDS/PP,Liliana Adelina Gonçalves da Silva,efetivo
Leiria,CDS/PP,Pedro Manuel Barra Fernandes,efetivo
Leiria,CDS/PP,António Manuel dos Santos Varanda,efetivo
Leiria,CDS/PP,Filomena Marília Henriques Carvalho,efetivo
Leiria,CDS/PP,Rafael António Brás Simões,efetivo
Leiria,CDS/PP,Dário Seguro Joaquim,suplente
Leiria,CDS/PP,Susana de Jesus da Silva,suplente
Leiria,CDS/PP,Flórido José Miranda da Silva,suplente
Leiria,CDS/PP,Mário Simão Gomes,suplente
Leiria,CDS/PP,Matilde Peixoto Oliveira,suplente
Leiria,IL,Dário Rafael Pinto Florindo,efetivo
Leiria,IL,Nuno Filipe Agostinho Carrasqueira,efetivo
Leiria,IL,Sílvia Maria Marques Santos e Sousa,efetivo
Leiria,IL,Antonio Vasco Petrucci Sousa,efetivo
Leiria,IL,Joaquim Augusto de Jesus Leitão,efetivo
Leiria,IL,Sónia Margarida Carreira da Conceição,efetivo
Leiria,IL,Pedro Costa Marques,efetivo
Leiria,IL,Liliana Patrícia Gonçalves Gomes,efetivo
Leiria,IL,Afonso Silvestre Grilo,efetivo
Leiria,IL,Miguel Ângelo Pires Trindade Silvestre,efetivo
Leiria,IL,Inês Nunes Novo,suplente
Leiria,IL,Felisbela Maria Penas Gens,suplente
Leiria,IL,Ricardo Jorge dos Santos,suplente
Leiria,IL,Francisco Nobre Malheiro,suplente
Leiria,IL,Carla Margarida Coelho de Brito Figueiroa,suplente
Leiria,ADN,Florindo de Jesus Pinheiro Figueiredo,efetivo
Leiria,ADN,Paulo Alexandre Faria da Silva,efetivo
Leiria,ADN,Tetiana Parkhomenko,efetivo
Leiria,ADN,Gerson Saraiva Claro Marques,efetivo
Leiria,ADN,Rui Jorge Abreu Morais Antunes,efetivo
Leiria,ADN,Maria Irene da Rocha Pego Lontro,efetivo
Leiria,ADN,Tiago Micael Mendes Alves,efetivo
Leiria,ADN,Manuel Augusto Maia Brás,efetivo
Leiria,ADN,Maria Preciosa Lontro de Sousa Balças,efetivo
Leiria,ADN,Nuno Pedro Rosa Ferrão,efetivo
Leiria,ADN,Ana Paula da Silva Pimentel,suplente
Leiria,ADN,José Carlos Severino Raimundo,suplente
Leiria,"Nós, Cidadãos!",José Manuel Vicente Moreira Mendes,efetivo
Leiria,"Nós, Cidadãos!",Rui Manuel Dias Alexandre,efetivo
Leiria,"Nós, Cidadãos!",Mónia Sofia Valentim da Costa,efetivo
Leiria,"Nós, Cidadãos!",Gonçalo João dos Reis Morins,efetivo
Leiria,"Nós, Cidadãos!",Henrique Tinta Mateus,efetivo
Leiria,"Nós, Cidadãos!",Sofia Maria da Silva Ramos,efetivo
Leiria,"Nós, Cidadãos!",Carlos Manuel Rebelo Machado,efetivo
Leiria,"Nós, Cidadãos!",Vítor Manuel Tomão da Silva,efetivo
Leiria,"Nós, Cidadãos!",Cláudia Filipa Nicolau Carvalho,efetivo
Leiria,"Nós, Cidadãos!",José Manuel Botas Pequeno,efetivo
Leiria,"Nós, Cidadãos!",Maximino Rosa Serra,suplente
Leiria,"Nós, Cidadãos!",Carmen Marisa Pedroso dos Santos,suplente
Leiria,"Nós, Cidadãos!",Rita Pinheiro Grosso,suplente
Leiria,BE,Ricardo Silva Vicente,efetivo
Leiria,BE,Lina Maria Carreira de Oliveira,efetivo
Leiria,BE,Carlos Manuel dos Santos Sousa Ubaldo,efetivo
Leiria,BE,Telma de Jesus Laborinho Ferreira,efetivo
Leiria,BE,Luís Miguel Ferreira da Silva,efetivo
Leiria,BE,Célia Margarida Narciso da Silva Cavalheiro,efetivo
Leiria,BE,Pedro Miguel Luzio Pereira,efetivo
Leiria,BE,Ana Rita Oliveira Vieira,efetivo
Leiria,BE,António Paulo Brandão Moniz de Jesus,efetivo
Leiria,BE,Ana Isabel Pereira da Costa Bernardes,efetivo
Leiria,BE,Jorge Fernando Ferreira Gaspar Ribeiro,suplente
Leiria,BE,Maria Manuela Lourenço da Gama Franco Pereira,suplente
Leiria,BE,Francisco Botelho Matos,suplente
Leiria,BE,Maria Leopoldina de Fátima Mendes Manteigas,suplente
Leiria,BE,Jorge da Silva Mendes Ferreira,suplente
Leiria,PAN,Liliana Patrícia Silva Vieira,efetivo
Leiria,PAN,Norberto Lopes Ribeiro,efetivo
Leiria,PAN,Patrícia Isabel Santos Martinho,efetivo
Leiria,PAN,Judite Catarina Sousa Ventura,efetivo
Leiria,PAN,Eusébio Ricardo Areias Silva,efetivo
Leiria,PAN,Sandra Patrícia Pacheco Oliveira,efetivo
Leiria,PAN,Manuel Augusto Martins Moreira,efetivo
Leiria,PAN,Ana Sofia Santos Pereira,efetivo
Leiria,PAN,Paulo Alexandre Brites Monteiro,efetivo
Leiria,PAN,Teresa Margarida da Costa Araújo,efetivo
Leiria,PAN,Susana Paula Inácio Cardoso,suplente
Leiria,PAN,Filipe Manuel Godinho Costa Pires,suplente
Leiria,PAN,Sofia de Sousa Branco Dinis de Carvalho,suplente
Leiria,PAN,Guilherme Henrique Pacheco Borges de Oliveira,suplente
Leiria,Volt Portugal,Isac Vieira Valente,efetivo
Leiria,Volt Portugal,Joana Patrícia Bernardo Marques,efetivo
Leiria,Volt Portugal,Fernando Miguel Gaspar Domingues,efetivo
Leiria,Volt Portugal,Catarina Marinho Ferreira Meneses da Silva,efetivo
Leiria,Volt Portugal,Rafael Jorge Martins Pereira,efetivo
Leiria,Volt Portugal,Isabel Maria Gaspar Pinto,efetivo
Leiria,Volt Portugal,João Gabriel Fidalgo do Rosário,efetivo
Leiria,Volt Portugal,Andreia Filipa Nogueira da Costa,efetivo
Leiria,Volt Portugal,Gonçalo de Melo Correia da Silva,efetivo
Leiria,Volt Portugal,Maria de Lurdes Ferreira Gonçalves Cardoso,efetivo
Leiria,Volt Portugal,Pedro Miguel Caetano Pires,suplente
Leiria,Volt Portugal,João Diogo Raposo Ferreira de Sousa,suplente
Leiria,MAS,Deolinda Roda Rodrigues Antunes,efetivo
Leiria,MAS,Cristiana dos Santos Caçador,efetivo
Leiria,MAS,Igor Manuel Carreiras da Costa,efetivo
Leiria,MAS,Mónica Isabel Abrantes da Silva,efetivo
Leiria,MAS,Judite da Conceição Gomes,efetivo
Leiria,MAS,Jaime Manuel Pereira Monteiro,efetivo
Leiria,MAS,Sandra Maria Faustino,efetivo
Leiria,MAS,Ana Filipa Antunes Bernardino,efetivo
Leiria,MAS,José Carlos Ferreira Fernandes,efetivo
Leiria,MAS,Celso Manuel Torres dos Santos,efetivo
Leiria,MAS,Dora Margarida Henriques Batista,suplente
Leiria,MAS,Cláudio Kuster Filipe,suplente
Leiria,LIVRE,Filipe Alexandre Fernandes Honório,efetivo
Leiria,LIVRE,Inês Santos Pires,efetivo
Leiria,LIVRE,Pedro Miguel Silva Santos,efetivo
Leiria,LIVRE,Joana Filipa Estêvão de Oliveira,efetivo
Leiria,LIVRE,Fernando Lino Barradas Franco,efetivo
Leiria,LIVRE,Ana Catarina Faria Bernardes,efetivo
Leiria,LIVRE,José Alberto Alvarez de Bettencourt,efetivo
Leiria,LIVRE,Adriana Cardoso Azevedo,efetivo
Leiria,LIVRE,Fábio Cipriano Ventura,efetivo
Leiria,LIVRE,Sandrine Maria Oliveira Santos,efetivo
Leiria,LIVRE,João Pedro Costa Catarino,suplente
Leiria,LIVRE,Joana Rita Ferreira Vieira,suplente
Leiria,PCP - PEV - CDU,Heloísa Augusta Baião de Brito Apolónia,efetivo
Leiria,PCP - PEV - CDU,João Paulo Quinzico Delgado,efetivo
Leiria,PCP - PEV - CDU,Alexandra Filipa de Araújo Seara Dengucho,efetivo
Leiria,PCP - PEV - CDU,Anabela Baptista Rodrigues dos Santos,efetivo
Leiria,PCP - PEV - CDU,Henrique Manuel Bento Fialho,efetivo
Leiria,PCP - PEV - CDU,Maria Clara Escudeiro Santana Abrantes,efetivo
Leiria,PCP - PEV - CDU,Rute Isabel Brazão Correia Azevedo,efetivo
Leiria,PCP - PEV - CDU,António Raposo Antunes Pires,efetivo
Leiria,PCP - PEV - CDU,Mariana da Conceição Santos Rocha,efetivo
Leiria,PCP - PEV - CDU,Jaime Manuel Ramos Pereira Portela,efetivo
Leiria,PCP - PEV - CDU,José Rui Pereira da Silva Raposo,suplente
Leiria,PCP - PEV - CDU,Margarida Ana Lopes da Silva Patrocínio,suplente
Leiria,PCP - PEV - CDU,João Pedro Leal Norte,suplente
Leiria,PCP - PEV - CDU,António da Conceição Ferraria,suplente
Leiria,PCP - PEV - CDU,Nídia Maria Coutinho Valente,suplente
Leiria,PPD/PSD,Paulo Cardoso Correia da Mota Pinto,efetivo
Leiria,PPD/PSD,Hugo Patrício Martinho de Oliveira,efetivo
Leiria,PPD/PSD,Olga Cristina Fino Silvestre,efetivo
Leiria,PPD/PSD,João Manuel Gomes Marques,efetivo
Leiria,PPD/PSD,João Carlos Barreiras Duarte,efetivo
Leiria,PPD/PSD,Célia Cristina Martins dos Santos Freire,efetivo
Leiria,PPD/PSD,Álvaro José Madureira,efetivo
Leiria,PPD/PSD,João Paulo Antunes dos Santos,efetivo
Leiria,PPD/PSD,Sofia Isabel Carreira,efetivo
Leiria,PPD/PSD,Alda Maria das Neves Delgado Correia de Carvalho,efetivo
Leiria,PPD/PSD,Carlos Alexandre de Carvalho Caetano,suplente
Leiria,PPD/PSD,Maria de Fátima Soares Lourenço Duarte,suplente
Leiria,PPD/PSD,Jéssica Ribeiro da Silva,suplente
Leiria,PPD/PSD,Nuno José Lopes das Neves Serrano,suplente
Leiria,PPD/PSD,Tânia Sofia Pereira de Oliveira,suplente
Leiria,PS,António Lacerda Sales,efetivo
Leiria,PS,Eurico Jorge Nogueira Leite Brilhante Dias,efetivo
Leiria,PS,Catarina Teresa Rola Sarmento e Castro,efetivo
Leiria,PS,Sara Maria Belo Velez,efetivo
Leiria,PS,Salvador Portugal Formiga,efetivo
Leiria,PS,Jorge Gabriel Duarte Catana Monteiro Martins,efetivo
Leiria,PS,Cláudia Cristina Avelar Santos,efetivo
Leiria,PS,Pedro Henrique Brito Jardim de Canha,efetivo
Leiria,PS,Lilibeth Lopes Ferreira,efetivo
Leiria,PS,Henrique André da Silva Nicolau Estrelinha,efetivo
Leiria,PS,Céline Moreira Gaspar,suplente
Leiria,PS,Ana Cristina Fernandes Simões,suplente
Leiria,PS,José Manuel Almeida Lourenço,suplente
Leiria,PS,Susana Alexandra Teixeira Rosa,suplente
Leiria,PS,Carla Mariza Marques Guerra Fernandes Pereira,suplente
Leiria,CHEGA,Gabriel Sérgio Mithá Ribeiro,efetivo
Leiria,CHEGA,Luís Paulo Pereira Fernandes,efetivo
Leiria,CHEGA,Carina Ascenso Francisco,efetivo
Leiria,CHEGA,Edmundo Jorge Dos Santos Carvalho,efetivo
Leiria,CHEGA,Cristina Maria Vieira Henriques,efetivo
Leiria,CHEGA,Pedro José Valinha Sampaio,efetivo
Leiria,CHEGA,Sandra Marisa Ferreira De Sousa,efetivo
Leiria,CHEGA,João Paulo Hermenegildo,efetivo
Leiria,CHEGA,Albertino Manuel Catarina Alves,efetivo
Leiria,CHEGA,Katia Dolores Galhardo Antunes,efetivo
Leiria,CHEGA,Joaquim António Barreira Alves,suplente
Leiria,CHEGA,Helga Silvestre de Sousa Cunha,suplente
Leiria,CHEGA,Fernando Bagagem dos Santos,suplente
Leiria,MPT,Manuel Oliveira Carreira,efetivo
Leiria,MPT,Magda Liliana Mendes Ferreira,efetivo
Leiria,MPT,Carlos Dias Pimenta,efetivo
Leiria,MPT,João Justino Caseiro,efetivo
Leiria,MPT,Susana Maria Vieira da Costa Dinis,efetivo
Leiria,MPT,Bruna Filipa Justino de Sousa,efetivo
Leiria,MPT,Tiago César Mendes Ferreira,efetivo
Leiria,MPT,Nélio José Filipe Rosa,efetivo
Leiria,MPT,Céline Marques Simões,efetivo
Leiria,MPT,Luís Carlos Pimenta Pereira,efetivo
Leiria,MPT,Maria Cristina Sacramento Vieira Lopes,suplente
Leiria,MPT,Nicolau Cravo Ferreira,suplente
Leiria,PTP,Dulce Maria Santos Rodrigues,efetivo
Leiria,PTP,Jair Vieira Caramelo,efetivo
Leiria,PTP,Leandra Filipa Pinto Oliveira,efetivo
Leiria,PTP,Jorge Manuel Fernandes Serrano,efetivo
Leiria,PTP,Isabel Maria Canôa Encarnação,efetivo
Leiria,PTP,Francisco Fernando Garcia,efetivo
Leiria,PTP,Manuel Berguilha Montes Fernandes,efetivo
Leiria,PTP,Maria Alexandrina da Silva Nunes,efetivo
Leiria,PTP,Rodrigo Inácio Flôr Cabeça,efetivo
Leiria,PTP,Luís Miguel Pia Loupa,efetivo
Leiria,PTP,Margareth Gomes Freitas Miranda,suplente
Leiria,PTP,Luís Miguel da Silva Monteiro,suplente
Leiria,Ergue-te,Paulo Jorge Alves,efetivo
Leiria,Ergue-te,Maria De Fátima Jesus Oliveira,efetivo
Leiria,Ergue-te,Carlos Alberto Carvalho Alves,efetivo
Leiria,Ergue-te,Maria Isabel Pedrosa Teotónio Alves,efetivo
Leiria,Ergue-te,Hernâni Manuel Castanheira Silva,efetivo
Leiria,Ergue-te,Luís Filipe da Silva Pedrosa,efetivo
Leiria,Ergue-te,Sandra Cristina dos Santos Figueiredo,efetivo
Leiria,Ergue-te,João Luís Silva Patrício,efetivo
Leiria,Ergue-te,Bruno Filipe Madeira António,efetivo
Leiria,Ergue-te,Maria De Fátima Pedrosa Teotónio,efetivo
Leiria,Ergue-te,Martinha Da Silva Alves,suplente
Leiria,Ergue-te,Gonçalo Miguel Aquino Oliveira,suplente
Leiria,Ergue-te,Neuza Carreira Marto,suplente
Leiria,Ergue-te,António Evangelista Conde,suplente
Leiria,Ergue-te,Lino José Domingues Gaspar,suplente
Leiria,R.I.R.,Maria Preciosa Antunes Timóteo Baptista,efetivo
Leiria,R.I.R.,Ana Cláudia Vieira Pata,efetivo
Leiria,R.I.R.,Armando Da Cruz Bicho,efetivo
Leiria,R.I.R.,Natália Salvador Chita,efetivo
Leiria,R.I.R.,Júlia Maria Dos Santos Marques,efetivo
Leiria,R.I.R.,António José Santos Da Cruz,efetivo
Leiria,R.I.R.,Ana Isabel Correia Pinto,efetivo
Leiria,R.I.R.,Susana Isabel Martins Prioste,efetivo
Leiria,R.I.R.,Rui Manuel Rendeiro Viralhada,efetivo
Leiria,R.I.R.,Vítor Manuel Inglês Marques Santos,efetivo
Leiria,R.I.R.,Carina Isabel Oliveira Martinho,suplente
Leiria,R.I.R.,Rui Gonçalo Timóteo Baptista,suplente
Leiria,R.I.R.,Eugénia Maria Firmino Silva Falacho,suplente
Portalegre,PCP - PEV - CDU,Helena Isabel Duarte Neves,efetivo
Portalegre,PCP - PEV - CDU,Manuel Maria Libério Coelho,efetivo
Portalegre,PCP - PEV - CDU,Cláudia Sofia da Luz Nunes Alvarenga,suplente
Portalegre,PCP - PEV - CDU,Pedro Nuno Rosa dos Reis,suplente
Portalegre,PS,Ricardo Miguel Furtado Pinheiro,efetivo
Portalegre,PS,Eduardo Miguel Oliveira Alves,efetivo
Portalegre,PS,Martina Pires Marcelino de Jesus,suplente
Portalegre,PS,Serenela Morgado Ventura da Luz,suplente
Portalegre,LIVRE,Francisco João Maçãs Biscainho,efetivo
Portalegre,LIVRE,Maria da Conceição Mocinha Velez,efetivo
Portalegre,LIVRE,André Moreira Tenente,suplente
Portalegre,LIVRE,Marta Janeiro Ferreira da Costa,suplente
Portalegre,R.I.R.,Américo Jerónimo Pires Saraiva Muacho,efetivo
Portalegre,R.I.R.,Maria Florinda Augusto Guelas,efetivo
Portalegre,R.I.R.,Luís Manuel Canhoto Xarepe,suplente
